+-----------+------------------+--------------+------------+------------+------------+------------+---------------+
| category  |    item_name     | day_of_week  | day_label  | avg_price  | min_price  | max_price  | record_count  |
+-----------+------------------+--------------+------------+------------+------------+------------+---------------+
| 오레하       | 상급 오레하 융화 재료     | 4            | 수          | 48.0       | 23         | 72         | 2             |
| 오레하       | 오레하 융화 재료        | 4            | 수          | 43.0       | 23         | 72         | 3             |
| 유물각인서     | 유물 각성 각인서        | 1            | 일          | 42805.0    | 39999      | 44998      | 142           |
| 유물각인서     | 유물 각성 각인서        | 2            | 월          | 42286.0    | 39400      | 44993      | 136           |
| 유물각인서     | 유물 각성 각인서        | 3            | 화          | 40955.0    | 39500      | 42000      | 24            |
| 유물각인서     | 유물 각성 각인서        | 4            | 수          | 39751.0    | 37998      | 41100      | 113           |
| 유물각인서     | 유물 각성 각인서        | 5            | 목          | 40246.0    | 37500      | 41900      | 142           |
| 유물각인서     | 유물 각성 각인서        | 6            | 금          | 41588.0    | 37300      | 44444      | 142           |
| 유물각인서     | 유물 각성 각인서        | 7            | 토          | 43016.0    | 40500      | 45000      | 142           |
| 유물각인서     | 유물 강령술 각인서       | 1            | 일          | 35.0       | 11         | 61         | 142           |
| 유물각인서     | 유물 강령술 각인서       | 2            | 월          | 25.0       | 1          | 41         | 136           |
| 유물각인서     | 유물 강령술 각인서       | 3            | 화          | 24.0       | 15         | 40         | 24            |
| 유물각인서     | 유물 강령술 각인서       | 4            | 수          | 32.0       | 9          | 54         | 114           |
| 유물각인서     | 유물 강령술 각인서       | 5            | 목          | 28.0       | 11         | 45         | 142           |
| 유물각인서     | 유물 강령술 각인서       | 6            | 금          | 27.0       | 1          | 50         | 142           |
| 유물각인서     | 유물 강령술 각인서       | 7            | 토          | 37.0       | 18         | 80         | 142           |
| 유물각인서     | 유물 강화 방패 각인서     | 1            | 일          | 55.0       | 1          | 555        | 142           |
| 유물각인서     | 유물 강화 방패 각인서     | 2            | 월          | 24.0       | 1          | 44         | 136           |
| 유물각인서     | 유물 강화 방패 각인서     | 3            | 화          | 23.0       | 13         | 50         | 24            |
| 유물각인서     | 유물 강화 방패 각인서     | 4            | 수          | 8.0        | 1          | 20         | 114           |
| 유물각인서     | 유물 강화 방패 각인서     | 5            | 목          | 7.0        | 1          | 13         | 142           |
| 유물각인서     | 유물 강화 방패 각인서     | 6            | 금          | 10.0       | 1          | 100        | 142           |
| 유물각인서     | 유물 강화 방패 각인서     | 7            | 토          | 7.0        | 1          | 14         | 142           |
| 유물각인서     | 유물 결투의 대가 각인서    | 1            | 일          | 24721.0    | 19700      | 30000      | 142           |
| 유물각인서     | 유물 결투의 대가 각인서    | 2            | 월          | 22869.0    | 20444      | 26000      | 136           |
| 유물각인서     | 유물 결투의 대가 각인서    | 3            | 화          | 22865.0    | 21900      | 23333      | 24            |
| 유물각인서     | 유물 결투의 대가 각인서    | 4            | 수          | 21544.0    | 19498      | 22989      | 113           |
| 유물각인서     | 유물 결투의 대가 각인서    | 5            | 목          | 22231.0    | 18999      | 24890      | 142           |
| 유물각인서     | 유물 결투의 대가 각인서    | 6            | 금          | 23850.0    | 21000      | 27500      | 142           |
| 유물각인서     | 유물 결투의 대가 각인서    | 7            | 토          | 24334.0    | 21000      | 27999      | 142           |
| 유물각인서     | 유물 구슬동자 각인서      | 1            | 일          | 1933.0     | 1000       | 2787       | 142           |
| 유물각인서     | 유물 구슬동자 각인서      | 2            | 월          | 1939.0     | 1499       | 2500       | 136           |
| 유물각인서     | 유물 구슬동자 각인서      | 3            | 화          | 2048.0     | 1666       | 2222       | 24            |
| 유물각인서     | 유물 구슬동자 각인서      | 4            | 수          | 1981.0     | 1600       | 2500       | 114           |
| 유물각인서     | 유물 구슬동자 각인서      | 5            | 목          | 1932.0     | 1200       | 2222       | 142           |
| 유물각인서     | 유물 구슬동자 각인서      | 6            | 금          | 1982.0     | 1600       | 2278       | 142           |
| 유물각인서     | 유물 구슬동자 각인서      | 7            | 토          | 1942.0     | 1500       | 2300       | 142           |
| 유물각인서     | 유물 굳은 의지 각인서     | 1            | 일          | 8.0        | 1          | 18         | 142           |
| 유물각인서     | 유물 굳은 의지 각인서     | 2            | 월          | 8.0        | 1          | 18         | 136           |
| 유물각인서     | 유물 굳은 의지 각인서     | 3            | 화          | 14.0       | 3          | 44         | 24            |
| 유물각인서     | 유물 굳은 의지 각인서     | 4            | 수          | 10.0       | 1          | 19         | 114           |
| 유물각인서     | 유물 굳은 의지 각인서     | 5            | 목          | 10.0       | 1          | 18         | 142           |
| 유물각인서     | 유물 굳은 의지 각인서     | 6            | 금          | 6.0        | 1          | 17         | 142           |
| 유물각인서     | 유물 굳은 의지 각인서     | 7            | 토          | 4.0        | 1          | 11         | 142           |
| 유물각인서     | 유물 급소 타격 각인서     | 1            | 일          | 254.0      | 5          | 362        | 142           |
| 유물각인서     | 유물 급소 타격 각인서     | 2            | 월          | 274.0      | 100        | 486        | 136           |
